bairro;cidade;preco;dados;referencia;tipo;dados;m² de área construída;m² de terreno;vaga;dormitório;suíte
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.300.000,00;3 dormitórios - 1 suíte - 4 vagas - 320,00 m² de área construída - 500,00 m² de terreno;Ref.: 59761;CASA;3 dormitórios - 1 suíte - 4 vagas - 320,00 m² de área construída - 500,00 m² de terreno;320;500;4;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 480.000,00;2 dormitórios - 1 vaga - 102,00 m² de área construída - 50,00 m² de terreno;Ref.: 61702;SOBRADO;2 dormitórios - 1 vaga - 102,00 m² de área construída - 50,00 m² de terreno;102;50;1;2;
BARCELONA;SAO CAETANO DO SUL;R$ 990.000,00;3 dormitórios - 3 suítes - 3 vagas - 211,00 m² de área construída - 200,00 m² de terreno;Ref.: 61395;SOBRADO;3 dormitórios - 3 suítes - 3 vagas - 211,00 m² de área construída - 200,00 m² de terreno;211;200;3;3;3
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.100.000,00;2 dormitórios - 224,00 m² de área construída - 400,00 m² de terreno;Ref.: 61134;CASA;2 dormitórios - 224,00 m² de área construída - 400,00 m² de terreno;224;400;;2;
BARCELONA;SAO CAETANO DO SUL;R$ 800.000,00;3 dormitórios - 1 suíte - 4 vagas - 200,00 m² de área construída - 137,00 m² de terreno;Ref.: 61748;SOBRADO;3 dormitórios - 1 suíte - 4 vagas - 200,00 m² de área construída - 137,00 m² de terreno;200;137;4;3;1
CERAMICA;SAO CAETANO DO SUL;R$ 650.000,00;2 dormitórios - 3 vagas - 150,00 m² de área construída - 182,60 m² de terreno;Ref.: 61668;CASA;2 dormitórios - 3 vagas - 150,00 m² de área construída - 182,60 m² de terreno;150;182,6;3;2;
OLIMPICO;SAO CAETANO DO SUL;R$ 636.000,00;2 dormitórios - 2 vagas - 133,00 m² de área construída - 100,00 m² de terreno;Ref.: 62215;SOBRADO;2 dormitórios - 2 vagas - 133,00 m² de área construída - 100,00 m² de terreno;133;100;2;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.060.000,00;3 dormitórios - 3 suítes - 3 vagas - 231,00 m² de área construída - 146,37 m² de terreno;Ref.: 62213;SOBRADO;3 dormitórios - 3 suítes - 3 vagas - 231,00 m² de área construída - 146,37 m² de terreno;231;146,37;3;3;3
BARCELONA;SAO CAETANO DO SUL;R$ 1.350.000,00;4 dormitórios - 4 suítes - 6 vagas - 226,00 m² de área construída - 500,00 m² de terreno;Ref.: 61900;CASA;4 dormitórios - 4 suítes - 6 vagas - 226,00 m² de área construída - 500,00 m² de terreno;226;500;6;4;4
NOVA GERTI;SAO CAETANO DO SUL;R$ 750.000,00;2 dormitórios - 8 vagas - 200,00 m² de área construída - 480,00 m² de terreno;Ref.: 62077;CASA;2 dormitórios - 8 vagas - 200,00 m² de área construída - 480,00 m² de terreno;200;480;8;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 950.000,00;3 dormitórios - 8 vagas - 230,00 m² de área construída - 610,00 m² de terreno;Ref.: 61622;SOBRADO;3 dormitórios - 8 vagas - 230,00 m² de área construída - 610,00 m² de terreno;230;610;8;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 600.000,00;3 dormitórios - 2 vagas - 119,00 m² de área construída - 203,00 m² de terreno;Ref.: 61780;CASA;3 dormitórios - 2 vagas - 119,00 m² de área construída - 203,00 m² de terreno;119;203;2;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 1.300.000,00;3 dormitórios - 3 suítes - 4 vagas - 300,00 m² de área construída - 189,00 m² de terreno;Ref.: 58806;SOBRADO;3 dormitórios - 3 suítes - 4 vagas - 300,00 m² de área construída - 189,00 m² de terreno;300;189;4;3;3
BARCELONA;SAO CAETANO DO SUL;R$ 1.050.000,00;3 dormitórios - 2 suítes - 6 vagas - 350,00 m² de área construída - 250,00 m² de terreno;Ref.: 61427;SOBRADO;3 dormitórios - 2 suítes - 6 vagas - 350,00 m² de área construída - 250,00 m² de terreno;350;250;6;3;2
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.100.000,00;3 dormitórios - 3 suítes - 8 vagas - 400,00 m² de área construída - 200,00 m² de terreno;Ref.: 59542;SOBRADO;3 dormitórios - 3 suítes - 8 vagas - 400,00 m² de área construída - 200,00 m² de terreno;400;200;8;3;3
SANTA MARIA;SAO CAETANO DO SUL;R$ 595.000,00;3 dormitórios - 1 suíte - 3 vagas - 160,00 m² de área construída - 70,00 m² de terreno;Ref.: 62082;SOBRADO;3 dormitórios - 1 suíte - 3 vagas - 160,00 m² de área construída - 70,00 m² de terreno;160;70;3;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 300.000,00;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;Ref.: 62189;SOBRADO;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;80;48;1;2;
BARCELONA;SAO CAETANO DO SUL;R$ 1.800.000,00;3 dormitórios - 1 suíte - 5 vagas - 451,00 m² de área construída - 480,00 m² de terreno;Ref.: 61912;CASA;3 dormitórios - 1 suíte - 5 vagas - 451,00 m² de área construída - 480,00 m² de terreno;451;480;5;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 950.000,00;3 dormitórios - 3 suítes - 3 vagas - 230,00 m² de área construída - 200,00 m² de terreno;Ref.: 61410;SOBRADO;3 dormitórios - 3 suítes - 3 vagas - 230,00 m² de área construída - 200,00 m² de terreno;230;200;3;3;3
OSVALDO CRUZ;SAO CAETANO DO SUL;R$ 765.000,00;2 dormitórios - 3 vagas - 135,00 m² de área construída - 143,00 m² de terreno;Ref.: 60889;CASA;2 dormitórios - 3 vagas - 135,00 m² de área construída - 143,00 m² de terreno;135;143;3;2;
BARCELONA;SAO CAETANO DO SUL;R$ 300.000,00;2 dormitórios - 80,00 m² de área construída - 48,00 m² de terreno;Ref.: 62055;SOBRADO;2 dormitórios - 80,00 m² de área construída - 48,00 m² de terreno;80;48;;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.200.000,00;4 dormitórios - 2 suítes - 4 vagas - 227,00 m² de área construída - 180,00 m² de terreno;Ref.: 61687;SOBRADO;4 dormitórios - 2 suítes - 4 vagas - 227,00 m² de área construída - 180,00 m² de terreno;227;180;4;4;2
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.500.000,00;4 dormitórios - 1 suíte - 4 vagas - 280,00 m² de área construída - 400,00 m² de terreno;Ref.: 61888;CASA;4 dormitórios - 1 suíte - 4 vagas - 280,00 m² de área construída - 400,00 m² de terreno;280;400;4;4;1
BARCELONA;SAO CAETANO DO SUL;R$ 480.000,00;3 dormitórios - 1 suíte - 1 vaga - 130,00 m² de área construída - 74,00 m² de terreno;Ref.: 61762;SOBRADO;3 dormitórios - 1 suíte - 1 vaga - 130,00 m² de área construída - 74,00 m² de terreno;130;74;1;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 300.000,00;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;Ref.: 62085;SOBRADO;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;80;48;1;2;
OSVALDO CRUZ;SAO CAETANO DO SUL;R$ 450.000,00;3 dormitórios - 1 vaga - 130,00 m² de área construída - 74,00 m² de terreno;Ref.: 62397;SOBRADO;3 dormitórios - 1 vaga - 130,00 m² de área construída - 74,00 m² de terreno;130;74;1;3;
SANTA MARIA;SAO CAETANO DO SUL;R$ 800.000,00;4 dormitórios - 1 suíte - 6 vagas - 370,00 m² de área construída - 500,00 m² de terreno;Ref.: 56911;SOBRADO;4 dormitórios - 1 suíte - 6 vagas - 370,00 m² de área construída - 500,00 m² de terreno;370;500;6;4;1
BARCELONA;SAO CAETANO DO SUL;R$ 1.272.000,00;3 dormitórios - 1 suíte - 2 vagas - 283,80 m² de área construída - 205,00 m² de terreno;Ref.: 61009;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 283,80 m² de área construída - 205,00 m² de terreno;283,8;205;2;3;1
SANTA PAULA;SAO CAETANO DO SUL;R$ 700.000,00;3 dormitórios - 1 suíte - 1 vaga - 173,00 m² de área construída - 110,00 m² de terreno;Ref.: 61476;SOBRADO;3 dormitórios - 1 suíte - 1 vaga - 173,00 m² de área construída - 110,00 m² de terreno;173;110;1;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 800.000,00;2 dormitórios - 6 vagas - 160,00 m² de área construída - 220,00 m² de terreno;Ref.: 62410;CASA TERREA;2 dormitórios - 6 vagas - 160,00 m² de área construída - 220,00 m² de terreno;160;220;6;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 490.000,00;2 dormitórios - 2 vagas - 130,00 m² de terreno;Ref.: 61229;CASA;2 dormitórios - 2 vagas - 130,00 m² de terreno;;130;2;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 910.000,00;3 dormitórios - 1 suíte - 1 vaga - 200,00 m² de área construída - 500,00 m² de terreno;Ref.: 59084;CASA TERREA;3 dormitórios - 1 suíte - 1 vaga - 200,00 m² de área construída - 500,00 m² de terreno;200;500;1;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 590.000,00;3 dormitórios - 1 vaga - 173,00 m² de área construída - 120,00 m² de terreno;Ref.: 62129;SOBRADO;3 dormitórios - 1 vaga - 173,00 m² de área construída - 120,00 m² de terreno;173;120;1;3;
SANTA MARIA;SAO CAETANO DO SUL;R$ 640.000,00;2 dormitórios - 2 vagas - 179,00 m² de área construída - 126,00 m² de terreno;Ref.: 62411;SOBRADO;2 dormitórios - 2 vagas - 179,00 m² de área construída - 126,00 m² de terreno;179;126;2;2;
OLIMPICO;SAO CAETANO DO SUL;R$ 700.000,00;3 dormitórios - 1 suíte - 2 vagas - 250,00 m² de área construída - 106,00 m² de terreno;Ref.: 62406;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 250,00 m² de área construída - 106,00 m² de terreno;250;106;2;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 450.000,00;3 dormitórios - 1 vaga - 109,00 m² de área construída - 66,70 m² de terreno;Ref.: 62127;SOBRADO;3 dormitórios - 1 vaga - 109,00 m² de área construída - 66,70 m² de terreno;109;66,7;1;3;
SANTA MARIA;SAO CAETANO DO SUL;R$ 730.000,00;3 dormitórios - 1 suíte - 2 vagas - 196,00 m² de área construída - 116,00 m² de terreno;Ref.: 61689;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 196,00 m² de área construída - 116,00 m² de terreno;196;116;2;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 3 suítes - 2 vagas - 280,00 m² de área construída - 215,00 m² de terreno;Ref.: 61796;SOBRADO;3 dormitórios - 3 suítes - 2 vagas - 280,00 m² de área construída - 215,00 m² de terreno;280;215;2;3;3
SAO JOSE;SAO CAETANO DO SUL;R$ 750.000,00;3 dormitórios - 2 vagas - 160,00 m² de área construída - 132,00 m² de terreno;Ref.: 60439;SOBRADO;3 dormitórios - 2 vagas - 160,00 m² de área construída - 132,00 m² de terreno;160;132;2;3;
BARCELONA;SAO CAETANO DO SUL;R$ 470.000,00;2 dormitórios - 1 suíte - 2 vagas - 113,00 m² de área construída - 66,40 m² de terreno;Ref.: 60716;SOBRADO;2 dormitórios - 1 suíte - 2 vagas - 113,00 m² de área construída - 66,40 m² de terreno;113;66,4;2;2;1
BARCELONA;SAO CAETANO DO SUL;R$ 980.000,00;3 dormitórios - 2 suítes - 5 vagas - 380,00 m² de área construída - 192,40 m² de terreno;Ref.: 62111;SOBRADO;3 dormitórios - 2 suítes - 5 vagas - 380,00 m² de área construída - 192,40 m² de terreno;380;192,4;5;3;2
OLIMPICO;SAO CAETANO DO SUL;R$ 750.000,00;4 dormitórios - 2 vagas - 216,00 m² de área construída - 275,00 m² de terreno;Ref.: 61662;CASA TERREA;4 dormitórios - 2 vagas - 216,00 m² de área construída - 275,00 m² de terreno;216;275;2;4;
JARDIM SAO CAETANO;SAO CAETANO DO SUL;R$ 2.900.000,00;4 dormitórios - 4 suítes - 352,00 m² de área construída - 408,00 m² de terreno;Ref.: 62065;SOBRADO;4 dormitórios - 4 suítes - 352,00 m² de área construída - 408,00 m² de terreno;352;408;;4;4
BOA VISTA;SAO CAETANO DO SUL;R$ 520.000,00;2 dormitórios - 1 suíte - 2 vagas - 139,00 m² de área construída - 122,85 m² de terreno;Ref.: 61370;SOBRADO;2 dormitórios - 1 suíte - 2 vagas - 139,00 m² de área construída - 122,85 m² de terreno;139;122,85;2;2;1
OLIMPICO;SAO CAETANO DO SUL;R$ 700.000,00;2 dormitórios - 5 vagas - 340,00 m² de área construída - 168,00 m² de terreno;Ref.: 61930;CASA;2 dormitórios - 5 vagas - 340,00 m² de área construída - 168,00 m² de terreno;340;168;5;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 800.000,00;3 dormitórios - 1 suíte - 2 vagas - 310,00 m² de área construída - 300,00 m² de terreno;Ref.: 60924;CASA;3 dormitórios - 1 suíte - 2 vagas - 310,00 m² de área construída - 300,00 m² de terreno;310;300;2;3;1
NOVA GERTI;SAO CAETANO DO SUL;R$ 750.000,00;4 dormitórios - 1 suíte - 4 vagas - 202,00 m² de área construída - 140,00 m² de terreno;Ref.: 61671;SOBRADO;4 dormitórios - 1 suíte - 4 vagas - 202,00 m² de área construída - 140,00 m² de terreno;202;140;4;4;1
OLIMPICO;SAO CAETANO DO SUL;R$ 1.000.000,00;3 dormitórios - 1 suíte - 3 vagas - 226,00 m² de área construída - 171,00 m² de terreno;Ref.: 61484;SOBRADO;3 dormitórios - 1 suíte - 3 vagas - 226,00 m² de área construída - 171,00 m² de terreno;226;171;3;3;1
SANTO ANTONIO;SAO CAETANO DO SUL;R$ 630.000,00;3 dormitórios - 1 vaga - 80,00 m² de área construída - 100,00 m² de terreno;Ref.: 60718;CASA;3 dormitórios - 1 vaga - 80,00 m² de área construída - 100,00 m² de terreno;80;100;1;3;
JARDIM SAO CAETANO;SAO CAETANO DO SUL;R$ 1.600.000,00;4 dormitórios - 4 suítes - 2 vagas;Ref.: 61472;CASA;4 dormitórios - 4 suítes - 2 vagas;;;2;4;4
SANTA MARIA;SAO CAETANO DO SUL;R$ 850.000,00;2 dormitórios - 2 vagas - 178,00 m² de área construída - 231,00 m² de terreno;Ref.: 61887;SOBRADO;2 dormitórios - 2 vagas - 178,00 m² de área construída - 231,00 m² de terreno;178;231;2;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.300.000,00;3 dormitórios - 1 suíte - 4 vagas - 400,00 m² de área construída - 500,00 m² de terreno;Ref.: 62201;CASA TERREA;3 dormitórios - 1 suíte - 4 vagas - 400,00 m² de área construída - 500,00 m² de terreno;400;500;4;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 290.000,00;2 dormitórios - 102,00 m² de área construída - 51,00 m² de terreno;Ref.: 61261;SOBRADO;2 dormitórios - 102,00 m² de área construída - 51,00 m² de terreno;102;51;;2;
SANTA PAULA;SAO CAETANO DO SUL;R$ 470.000,00;2 dormitórios - 2 vagas - 120,00 m² de área construída - 140,00 m² de terreno;Ref.: 61369;CASA TERREA;2 dormitórios - 2 vagas - 120,00 m² de área construída - 140,00 m² de terreno;120;140;2;2;
BARCELONA;SAO CAETANO DO SUL;R$ 290.000,00;2 dormitórios - 102,00 m² de área construída - 51,00 m² de terreno;Ref.: 61261;SOBRADO;2 dormitórios - 102,00 m² de área construída - 51,00 m² de terreno;102;51;;2;
OLIMPICO;SAO CAETANO DO SUL;R$ 500.000,00;2 dormitórios - 1 vaga - 250,00 m² de área construída - 146,00 m² de terreno;Ref.: 62034;CASA;2 dormitórios - 1 vaga - 250,00 m² de área construída - 146,00 m² de terreno;250;146;1;2;
SANTA PAULA;SAO CAETANO DO SUL;R$ 1.120.000,00;3 dormitórios - 8 vagas - 230,00 m² de área construída - 238,00 m² de terreno;Ref.: 62311;SOBRADO;3 dormitórios - 8 vagas - 230,00 m² de área construída - 238,00 m² de terreno;230;238;8;3;
NOVA GERTI;SAO CAETANO DO SUL;R$ 800.000,00;2 dormitórios - 1 suíte - 3 vagas - 128,00 m² de área construída - 300,00 m² de terreno;Ref.: 62413;CASA TERREA;2 dormitórios - 1 suíte - 3 vagas - 128,00 m² de área construída - 300,00 m² de terreno;128;300;3;2;1
SANTA PAULA;SAO CAETANO DO SUL;R$ 2.200.000,00;3 dormitórios - 1 suíte - 7 vagas - 320,00 m² de área construída - 400,00 m² de terreno;Ref.: 59288;CASA;3 dormitórios - 1 suíte - 7 vagas - 320,00 m² de área construída - 400,00 m² de terreno;320;400;7;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 1.550.000,00;1 dormitório - 4 vagas - 250,00 m² de área construída - 264,00 m² de terreno;Ref.: 60928;CASA COMERCIAL;1 dormitório - 4 vagas - 250,00 m² de área construída - 264,00 m² de terreno;250;264;4;1;
OLIMPICO;SAO CAETANO DO SUL;R$ 950.000,00;3 dormitórios - 1 suíte - 3 vagas - 190,00 m² de área construída - 205,00 m² de terreno;Ref.: 61979;CASA;3 dormitórios - 1 suíte - 3 vagas - 190,00 m² de área construída - 205,00 m² de terreno;190;205;3;3;1
OLIMPICO;SAO CAETANO DO SUL;R$ 650.000,00;3 dormitórios - 1 suíte - 2 vagas - 140,00 m² de área construída - 196,00 m² de terreno;Ref.: 61448;CASA;3 dormitórios - 1 suíte - 2 vagas - 140,00 m² de área construída - 196,00 m² de terreno;140;196;2;3;1
JARDIM SAO CAETANO;SAO CAETANO DO SUL;R$ 2.900.000,00;4 dormitórios - 4 suítes - 352,00 m² de área construída - 408,00 m² de terreno;Ref.: 62065;SOBRADO;4 dormitórios - 4 suítes - 352,00 m² de área construída - 408,00 m² de terreno;352;408;;4;4
CENTRO;SAO CAETANO DO SUL;R$ 900.000,00;2 dormitórios - 5 vagas - 150,00 m² de área construída - 271,00 m² de terreno;Ref.: 61742;CASA;2 dormitórios - 5 vagas - 150,00 m² de área construída - 271,00 m² de terreno;150;271;5;2;
FUNDACAO;SAO CAETANO DO SUL;R$ 650.000,00;2 dormitórios - 2 vagas - 100,00 m² de área construída - 175,00 m² de terreno;Ref.: 62418;CASA TERREA;2 dormitórios - 2 vagas - 100,00 m² de área construída - 175,00 m² de terreno;100;175;2;2;
NOVA GERTI;SAO CAETANO DO SUL;R$ 600.000,00;2 dormitórios - 2 vagas - 100,00 m² de área construída - 225,00 m² de terreno;Ref.: 61858;CASA;2 dormitórios - 2 vagas - 100,00 m² de área construída - 225,00 m² de terreno;100;225;2;2;
BARCELONA;SAO CAETANO DO SUL;R$ 900.000,00;3 dormitórios - 1 suíte - 3 vagas - 145,00 m² de área construída - 200,00 m² de terreno;Ref.: 62123;CASA;3 dormitórios - 1 suíte - 3 vagas - 145,00 m² de área construída - 200,00 m² de terreno;145;200;3;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 950.000,00;3 dormitórios - 1 suíte - 3 vagas - 214,00 m² de área construída - 150,00 m² de terreno;Ref.: 62112;SOBRADO;3 dormitórios - 1 suíte - 3 vagas - 214,00 m² de área construída - 150,00 m² de terreno;214;150;3;3;1
OLIMPICO;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 3 vagas - 210,00 m² de área construída - 227,50 m² de terreno;Ref.: 62337;SOBRADO;3 dormitórios - 3 vagas - 210,00 m² de área construída - 227,50 m² de terreno;210;227,5;3;3;
SANTA PAULA;SAO CAETANO DO SUL;R$ 640.000,00;3 dormitórios - 1 suíte - 2 vagas - 129,00 m² de área construída - 71,40 m² de terreno;Ref.: 61822;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 129,00 m² de área construída - 71,40 m² de terreno;129;71,4;2;3;1
CERAMICA;SAO CAETANO DO SUL;R$ 600.000,00;3 dormitórios - 1 suíte - 2 vagas - 177,00 m² de área construída - 144,00 m² de terreno;Ref.: 62022;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 177,00 m² de área construída - 144,00 m² de terreno;177;144;2;3;1
