bairro,cidade,preco,dados,referencia,tipo
"BARCELONA","SAO CAETANO DO SUL","R$ 1.400.000,00","3 dormitórios - 4 vagas - 214,00 m² de área construída - 456,00 m² de terreno","Ref.: 61828","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 1.050.000,00","3 dormitórios - 3 suítes - 5 vagas - 279,00 m² de área construída - 160,00 m² de terreno","Ref.: 62327","SOBRADO"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 450.000,00","3 dormitórios - 2 vagas - 90,00 m² de área construída - 75,00 m² de terreno","Ref.: 62271","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 1 vaga - 155,00 m² de área construída - 149,00 m² de terreno","Ref.: 61469","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 800.000,00","3 dormitórios - 1 suíte - 2 vagas - 210,00 m² de área construída - 143,00 m² de terreno","Ref.: 61995","SOBRADO"
"BOA VISTA","SAO CAETANO DO SUL","R$ 700.000,00","3 dormitórios - 3 suítes - 2 vagas - 123,00 m² de área construída - 71,40 m² de terreno","Ref.: 62179","SOBRADO"
"JARDIM SAO CAETANO","SAO CAETANO DO SUL","R$ 900.000,00","3 dormitórios - 1 suíte","Ref.: 61335","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.200.000,00","1 dormitório - 5 vagas - 224,00 m² de área construída - 450,20 m² de terreno","Ref.: 59896","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 480.000,00","3 dormitórios - 2 vagas - 140,00 m² de área construída - 77,00 m² de terreno","Ref.: 62193","SOBRADO"
"MAUA","SAO CAETANO DO SUL","R$ 530.000,00","2 dormitórios - 2 vagas - 100,00 m² de área construída - 165,75 m² de terreno","Ref.: 62317","CASA TERREA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 500.000,00","3 dormitórios - 2 vagas - 99,00 m² de área construída - 60,42 m² de terreno","Ref.: 62047","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 1.320.000,00","3 dormitórios - 3 suítes - 6 vagas - 412,00 m² de área construída - 210,00 m² de terreno","Ref.: 61538","SOBRADO"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 900.000,00","3 dormitórios - 3 suítes - 4 vagas - 292,00 m² de área construída - 165,00 m² de terreno","Ref.: 62300","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 560.000,00","2 dormitórios - 2 vagas - 150,00 m² de área construída - 250,00 m² de terreno","Ref.: 62037","CASA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 3 vagas - 228,00 m² de área construída - 111,60 m² de terreno","Ref.: 61936","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 550.000,00","4 dormitórios - 6 vagas - 311,00 m² de área construída - 164,75 m² de terreno","Ref.: 61722","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 900.000,00","3 dormitórios - 2 suítes - 2 vagas - 251,00 m² de área construída - 139,70 m² de terreno","Ref.: 61638","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.200.000,00","3 dormitórios - 5 vagas - 200,00 m² de área construída - 500,00 m² de terreno","Ref.: 60872","CASA"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 630.000,00","3 dormitórios - 1 suíte - 2 vagas - 170,00 m² de área construída - 150,00 m² de terreno","Ref.: 62415","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 750.000,00","1 dormitório - 1 vaga - 250,00 m² de terreno","Ref.: 61798","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62188","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 650.000,00","3 dormitórios - 1 suíte - 2 vagas - 199,00 m² de área construída - 150,00 m² de terreno","Ref.: 60117","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 590.000,00","2 dormitórios - 170,00 m² de área construída - 86,20 m² de terreno","Ref.: 62360","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 800.000,00","3 dormitórios - 1 suíte - 4 vagas - 286,00 m² de área construída - 197,00 m² de terreno","Ref.: 61385","SOBRADO"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 3 vagas - 291,28 m² de área construída - 320,00 m² de terreno","Ref.: 62306","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 3 vagas - 185,00 m² de área construída - 188,50 m² de terreno","Ref.: 61883","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.050.000,00","3 dormitórios - 1 suíte - 4 vagas - 341,00 m² de área construída - 175,00 m² de terreno","Ref.: 61754","CASA ASSOBRADADA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 800.000,00","4 dormitórios - 1 suíte - 7 vagas - 208,00 m² de área construída - 138,70 m² de terreno","Ref.: 62035","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 640.000,00","3 dormitórios - 4 vagas - 170,00 m² de área construída - 150,00 m² de terreno","Ref.: 61700","CASA"
"CERAMICA","SAO CAETANO DO SUL","R$ 1.400.000,00","3 dormitórios - 4 vagas - 300,00 m² de área construída - 322,00 m² de terreno","Ref.: 61825","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 650.000,00","2 dormitórios - 1 suíte - 2 vagas - 202,00 m² de área construída - 115,00 m² de terreno","Ref.: 59801","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62188","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 990.000,00","3 dormitórios - 1 suíte - 8 vagas - 347,00 m² de área construída - 290,00 m² de terreno","Ref.: 60508","SOBRADO"
"SANTO ANTONIO","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 2 vagas - 150,00 m² de área construída - 100,00 m² de terreno","Ref.: 62015","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.600.000,00","3 dormitórios - 6 vagas - 130,00 m² de área construída - 500,00 m² de terreno","Ref.: 61852","CASA"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 660.000,00","2 dormitórios - 1 suíte - 3 vagas - 300,00 m² de terreno","Ref.: 62365","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 2.400.000,00","4 dormitórios - 1 suíte - 3 vagas - 500,00 m² de área construída - 700,00 m² de terreno","Ref.: 60649","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.050.000,00","2 dormitórios - 1 vaga - 176,00 m² de área construída - 200,00 m² de terreno","Ref.: 61274","CASA TERREA"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 2 vagas - 250,00 m² de terreno","Ref.: 61042","CASA ASSOBRADADA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 1.080.000,00","3 dormitórios - 1 suíte - 5 vagas - 230,00 m² de área construída - 380,00 m² de terreno","Ref.: 62184","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 500.000,00","2 dormitórios - 1 suíte - 3 vagas - 100,00 m² de área construída - 154,00 m² de terreno","Ref.: 62292","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62085","SOBRADO"
"JARDIM SAO CAETANO","SAO CAETANO DO SUL","R$ 480.000,00","2 dormitórios - 2 vagas - 122,00 m² de área construída - 110,71 m² de terreno","Ref.: 61941","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.200.000,00","2 dormitórios - 4 vagas - 200,00 m² de área construída - 500,00 m² de terreno","Ref.: 60873","CASA"
"JARDIM SAO CAETANO","SAO CAETANO DO SUL","R$ 550.000,00","2 dormitórios - 2 suítes - 1 vaga - 124,00 m² de área construída - 80,00 m² de terreno","Ref.: 61677","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.100.000,00","4 dormitórios - 4 suítes - 6 vagas - 330,00 m² de área construída - 320,00 m² de terreno","Ref.: 60647","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 1.100.000,00","4 dormitórios - 1 suíte - 4 vagas - 258,80 m² de área construída - 143,00 m² de terreno","Ref.: 61756","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 650.000,00","3 dormitórios - 1 suíte - 2 vagas - 182,00 m² de área construída - 150,00 m² de terreno","Ref.: 62354","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.380.000,00","4 dormitórios - 1 suíte - 6 vagas - 340,00 m² de área construída - 198,00 m² de terreno","Ref.: 62135","SOBRADO"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 550.000,00","3 dormitórios - 2 vagas - 151,00 m² de área construída - 216,00 m² de terreno","Ref.: 61384","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.380.000,00","1 dormitório - 2 vagas - 100,00 m² de área construída - 450,00 m² de terreno","Ref.: 60179","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62055","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 800.000,00","3 dormitórios - 1 suíte - 2 vagas - 228,00 m² de área construída - 167,90 m² de terreno","Ref.: 61170","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62189","SOBRADO"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 650.000,00","1 dormitório - 3 vagas - 182,00 m² de terreno","Ref.: 62017","CASA TERREA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 470.000,00","3 dormitórios - 1 suíte - 2 vagas - 110,00 m² de área construída - 63,00 m² de terreno","Ref.: 62195","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 600.000,00","3 dormitórios - 1 suíte - 2 vagas - 202,00 m² de área construída - 115,07 m² de terreno","Ref.: 60982","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 550.000,00","2 dormitórios - 2 vagas - 180,00 m² de área construída - 210,00 m² de terreno","Ref.: 62392","CASA"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 2.200.000,00","3 dormitórios - 1 suíte - 7 vagas - 320,00 m² de área construída - 400,00 m² de terreno","Ref.: 59288","CASA"
"PROSPERIDADE","SAO CAETANO DO SUL","R$ 430.000,00","3 dormitórios - 1 suíte - 4 vagas - 228,00 m² de área construída - 230,00 m² de terreno","Ref.: 61617","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 770.000,00","3 dormitórios - 3 vagas - 162,00 m² de área construída - 171,00 m² de terreno","Ref.: 61922","CASA"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 900.000,00","1 dormitório - 4 vagas - 180,00 m² de área construída - 200,00 m² de terreno","Ref.: 61062","CASA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 770.000,00","2 dormitórios - 3 vagas - 237,00 m² de área construída - 270,00 m² de terreno","Ref.: 61143","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 720.000,00","2 dormitórios - 4 vagas - 226,00 m² de área construída - 220,00 m² de terreno","Ref.: 62382","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 950.000,00","3 dormitórios - 2 vagas - 217,00 m² de área construída - 177,00 m² de terreno","Ref.: 61709","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 650.000,00","2 dormitórios - 1 suíte - 3 vagas - 135,00 m² de área construída - 199,00 m² de terreno","Ref.: 61630","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 550.000,00","2 dormitórios - 2 vagas - 166,00 m² de área construída","Ref.: 62220","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 6 vagas - 267,00 m² de área construída - 166,70 m² de terreno","Ref.: 59906","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 750.000,00","2 dormitórios - 1 suíte - 4 vagas - 252,00 m² de área construída - 154,00 m² de terreno","Ref.: 61022","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 480.000,00","2 dormitórios - 1 vaga - 100,00 m² de área construída - 60,00 m² de terreno","Ref.: 62324","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 620.000,00","3 dormitórios - 1 suíte - 2 vagas - 200,00 m² de área construída - 90,62 m² de terreno","Ref.: 62076","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.200.000,00","3 dormitórios - 2 suítes - 1 vaga - 300,00 m² de área construída - 325,00 m² de terreno","Ref.: 62228","CASA TERREA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 750.000,00","2 dormitórios - 2 vagas - 142,42 m² de área construída - 266,00 m² de terreno","Ref.: 61567","CASA"
"CERAMICA","SAO CAETANO DO SUL","R$ 650.000,00","2 dormitórios - 3 vagas - 122,00 m² de área construída - 161,32 m² de terreno","Ref.: 61699","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 410.000,00","2 dormitórios - 3 vagas - 112,00 m² de área construída - 190,00 m² de terreno","Ref.: 61942","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 690.000,00","5 dormitórios - 4 vagas - 500,00 m² de área construída - 356,00 m² de terreno","Ref.: 62187","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 954.000,00","3 dormitórios - 3 suítes - 3 vagas - 300,00 m² de área construída - 230,00 m² de terreno","Ref.: 61925","CASA TERREA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 630.000,00","3 dormitórios - 1 suíte - 2 vagas - 142,00 m² de área construída - 123,00 m² de terreno","Ref.: 62338","SOBRADO"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 595.000,00","2 dormitórios - 7 vagas - 150,00 m² de área construída - 310,00 m² de terreno","Ref.: 60604","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 990.000,00","3 dormitórios - 3 suítes - 3 vagas - 211,00 m² de área construída - 200,00 m² de terreno","Ref.: 61396","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 700.000,00","3 dormitórios - 3 suítes - 4 vagas - 92,40 m² de terreno","Ref.: 61960","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 870.000,00","4 dormitórios - 2 suítes - 4 vagas - 189,00 m² de área construída - 140,00 m² de terreno","Ref.: 61273","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 690.000,00","3 dormitórios - 2 vagas - 140,00 m² de área construída - 70,00 m² de terreno","Ref.: 62125","SOBRADO"
"CERAMICA","SAO CAETANO DO SUL","R$ 900.000,00","3 dormitórios - 1 suíte - 6 vagas - 244,00 m² de área construída - 217,00 m² de terreno","Ref.: 61264","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 580.000,00","3 dormitórios - 1 suíte - 2 vagas - 158,00 m² de área construída - 179,65 m² de terreno","Ref.: 62372","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 600.000,00","2 dormitórios - 3 vagas - 150,00 m² de área construída - 250,00 m² de terreno","Ref.: 62312","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.950.000,00","2 dormitórios - 2 vagas - 200,00 m² de área construída - 780,00 m² de terreno","Ref.: 61549","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 2 vagas - 305,00 m² de área construída - 159,25 m² de terreno","Ref.: 61415","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 550.000,00","2 dormitórios - 6 vagas - 120,00 m² de área construída - 255,00 m² de terreno","Ref.: 62316","CASA TERREA"
"MAUA","SAO CAETANO DO SUL","R$ 550.000,00","3 dormitórios - 1 suíte - 3 vagas - 105,00 m² de área construída - 131,00 m² de terreno","Ref.: 62378","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 620.000,00","3 dormitórios - 2 vagas - 98,00 m² de área construída - 66,00 m² de terreno","Ref.: 62244","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 800.000,00","3 dormitórios - 1 suíte - 3 vagas - 333,00 m² de área construída - 222,50 m² de terreno","Ref.: 61234","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 640.000,00","2 dormitórios - 1 vaga - 90,00 m² de área construída - 150,00 m² de terreno","Ref.: 61132","CASA"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 430.000,00","2 dormitórios - 1 vaga - 94,00 m² de área construída - 69,00 m² de terreno","Ref.: 62355","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 890.000,00","4 dormitórios - 5 vagas - 210,00 m² de área construída - 175,00 m² de terreno","Ref.: 61612","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 900.000,00","3 dormitórios - 3 suítes - 5 vagas - 290,00 m² de área construída - 147,00 m² de terreno","Ref.: 62197","SOBRADO"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 670.000,00","3 dormitórios - 2 suítes - 2 vagas - 207,00 m² de área construída - 133,90 m² de terreno","Ref.: 62373","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.150.000,00","2 dormitórios - 2 vagas - 200,00 m² de área construída - 500,00 m² de terreno","Ref.: 60871","CASA"
"BOA VISTA","SAO CAETANO DO SUL","R$ 600.000,00","3 dormitórios - 2 vagas - 167,00 m² de área construída - 108,32 m² de terreno","Ref.: 61879","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 450.000,00","2 dormitórios - 1 vaga - 96,00 m² de área construída - 115,00 m² de terreno","Ref.: 61705","CASA TERREA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 430.000,00","3 dormitórios - 1 suíte - 2 vagas - 106,00 m² de área construída - 60,00 m² de terreno","Ref.: 60710","SOBRADO"
"CERAMICA","SAO CAETANO DO SUL","R$ 375.000,00","1 dormitório - 1 vaga - 71,00 m² de área construída - 81,00 m² de terreno","Ref.: 62198","CASA TERREA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 500.000,00","3 dormitórios - 2 vagas - 120,00 m² de área construída - 125,00 m² de terreno","Ref.: 61835","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.100.000,00","2 dormitórios - 1 suíte - 6 vagas - 129,00 m² de área construída - 200,00 m² de terreno","Ref.: 61903","CASA TERREA"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 700.000,00","3 dormitórios - 1 suíte - 2 vagas - 190,00 m² de área construída - 99,60 m² de terreno","Ref.: 60792","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 450.000,00","1 dormitório - 133,00 m² de área construída - 208,60 m² de terreno","Ref.: 62358","CASA"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 560.000,00","2 dormitórios - 7 vagas - 160,00 m² de área construída - 324,00 m² de terreno","Ref.: 61996","CASA TERREA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 750.000,00","2 dormitórios - 1 vaga - 310,00 m² de área construída - 130,00 m² de terreno","Ref.: 62226","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 890.000,00","2 dormitórios - 5 vagas - 200,00 m² de área construída - 320,00 m² de terreno","Ref.: 61846","CASA"
